species combination	targets
yeast,mouse,worm,fly	0
yeast,mouse,worm,rat	0
yeast,mouse,fly,human	2
yeast,mouse,fly,worm	0
yeast,mouse,fly,rat	0
yeast,mouse,rat,human	3
yeast,mouse,rat,worm	0
yeast,mouse,rat,fly	0
yeast,rat,human,worm	0
yeast,rat,human,fly	0
yeast,rat,human,mouse	3
yeast,rat,worm,human	0
yeast,rat,worm,fly	0
yeast,rat,worm,mouse	0
yeast,rat,fly,human	0
yeast,rat,fly,worm	0
yeast,rat,fly,mouse	0
yeast,rat,mouse,human	3
yeast,rat,mouse,worm	0
yeast,rat,mouse,fly	0
human, worm, fly, mouse, rat	3
human, worm, fly, mouse, yeast	1
human, worm, fly, rat, mouse	3
human, worm, fly, rat, yeast	0
human, worm, fly, yeast, mouse	1
human, worm, fly, yeast, rat	0
human, worm, mouse, fly, rat	3
human, worm, mouse, fly, yeast	1
human, worm, mouse, rat, fly	3
human, worm, mouse, rat, yeast	0
human, worm, mouse, yeast, fly	1
human, worm, mouse, yeast, rat	0
human, worm, rat, fly, mouse	3
human, worm, rat, fly, yeast	0
human, worm, rat, mouse, fly	3
human, worm, rat, mouse, yeast	0
human, worm, rat, yeast, fly	0
human, worm, rat, yeast, mouse	0
human, worm, yeast, fly, mouse	1
human, worm, yeast, fly, rat	0
human, worm, yeast, mouse, fly	1
human, worm, yeast, mouse, rat	0
human, worm, yeast, rat, fly	0
human, worm, yeast, rat, mouse	0
human, fly, worm, mouse, rat	3
human, fly, worm, mouse, yeast	1
human, fly, worm, rat, mouse	3
human, fly, worm, rat, yeast	0
human, fly, worm, yeast, mouse	1
human, fly, worm, yeast, rat	0
human, fly, mouse, worm, rat	3
human, fly, mouse, worm, yeast	1
human, fly, mouse, rat, worm	3
human, fly, mouse, rat, yeast	2
human, fly, mouse, yeast, worm	1
human, fly, mouse, yeast, rat	2
human, fly, rat, worm, mouse	3
human, fly, rat, worm, yeast	0
human, fly, rat, mouse, worm	3
human, fly, rat, mouse, yeast	2
human, fly, rat, yeast, worm	0
human, fly, rat, yeast, mouse	2
human, fly, yeast, worm, mouse	1
human, fly, yeast, worm, rat	0
human, fly, yeast, mouse, worm	1
human, fly, yeast, mouse, rat	2
human, fly, yeast, rat, worm	0
human, fly, yeast, rat, mouse	2
human, mouse, worm, fly, rat	3
human, mouse, worm, fly, yeast	1
human, mouse, worm, rat, fly	3
human, mouse, worm, rat, yeast	0
human, mouse, worm, yeast, fly	1
human, mouse, worm, yeast, rat	0
human, mouse, fly, worm, rat	3
human, mouse, fly, worm, yeast	1
human, mouse, fly, rat, worm	3
human, mouse, fly, rat, yeast	2
human, mouse, fly, yeast, worm	1
human, mouse, fly, yeast, rat	2
human, mouse, rat, worm, fly	3
human, mouse, rat, worm, yeast	0
human, mouse, rat, fly, worm	3
human, mouse, rat, fly, yeast	2
human, mouse, rat, yeast, worm	0
human, mouse, rat, yeast, fly	2
human, mouse, yeast, worm, fly	1
human, mouse, yeast, worm, rat	0
human, mouse, yeast, fly, worm	1
human, mouse, yeast, fly, rat	2
human, mouse, yeast, rat, worm	0
human, mouse, yeast, rat, fly	2
human, rat, worm, fly, mouse	3
human, rat, worm, fly, yeast	0
human, rat, worm, mouse, fly	3
human, rat, worm, mouse, yeast	0
human, rat, worm, yeast, fly	0
human, rat, worm, yeast, mouse	0
human, rat, fly, worm, mouse	3
human, rat, fly, worm, yeast	0
human, rat, fly, mouse, worm	3
human, rat, fly, mouse, yeast	2
human, rat, fly, yeast, worm	0
human, rat, fly, yeast, mouse	2
human, rat, mouse, worm, fly	3
human, rat, mouse, worm, yeast	0
human, rat, mouse, fly, worm	3
human, rat, mouse, fly, yeast	2
human, rat, mouse, yeast, worm	0
human, rat, mouse, yeast, fly	2
human, rat, yeast, worm, fly	0
human, rat, yeast, worm, mouse	0
human, rat, yeast, fly, worm	0
human, rat, yeast, fly, mouse	2
human, rat, yeast, mouse, worm	0
human, rat, yeast, mouse, fly	2
human, yeast, worm, fly, mouse	1
human, yeast, worm, fly, rat	0
human, yeast, worm, mouse, fly	1
human, yeast, worm, mouse, rat	0
human, yeast, worm, rat, fly	0
human, yeast, worm, rat, mouse	0
human, yeast, fly, worm, mouse	1
human, yeast, fly, worm, rat	0
human, yeast, fly, mouse, worm	1
human, yeast, fly, mouse, rat	2
human, yeast, fly, rat, worm	0
human, yeast, fly, rat, mouse	2
human, yeast, mouse, worm, fly	1
human, yeast, mouse, worm, rat	0
human, yeast, mouse, fly, worm	1
human, yeast, mouse, fly, rat	2
human, yeast, mouse, rat, worm	0
human, yeast, mouse, rat, fly	2
human, yeast, rat, worm, fly	0
human, yeast, rat, worm, mouse	0
human, yeast, rat, fly, worm	0
