 	Zmynd17
 	BC002230
 	2210018M11Rik
 	Fam134a
 	6330503K22Rik
 	2610027L16Rik
 	Sdccag3
 	1110002N22Rik
 	Fbxo18
 	2610024G14Rik
 	1200011I18Rik
 	1700052N19Rik
 	2610039C10Rik
 	D17Wsu104e
 	BC030307
 	Dopey1
 	Prkrir
 	9030624J02Rik
 	BC018507
 	Fam54a
 	D17H6S56E-3
 	Mterfd2
 	Dci
 	1200014J11Rik
 	Agpat6
 	2310037I24Rik
 	Tmem57
 	Eif3j
 	Tenc1
 	Prosc
 	Zfp295
 	2310004I24Rik
 	Mobkl1b
 	5430413K10Rik
 	0610031J06Rik
 	D4Wsu53e
 	Usp17l5
 	1110007L15Rik
 	1110037F02Rik
 	3110052M02Rik
 	0610007P14Rik
 	H47
 	Gnb2l1
 	Dom3z
 	Ccdc11
 	AI462493
 	Mfi2
 	D630042P16Rik
 	Dak
 	Fam175b
 	BC016423
 	1110018G07Rik
 	Wdr85
 	4930528F23Rik
 	Gsg2
 	A130022J15Rik
 	BC067068
 	Fam132a
 	Pih1d2
 	Wdr77
 	Atp5f1
 	Rab5b
 	Dnajc5
 	Heatr6
 	Snapin
 	Zfp276
 	Mfsd10
 	Mcm3ap
 	Mxd1
 	Srr
 	Hars
 	Zmat2
 	Kpnb1
 	Unc119
 	Rab34
 	Sf3a1
 	Dhrs1
 	Ccdc97
 	Atg4d
 	Chaf1a
 	Abcf3
 	Med29
 	Pex19
 	Taf6l
 	Kif20a
 	Stat3
 	Cwc15
 	Emg1
 	Utp20
 	Slbp
 	Dlst
 	Celf1
 	Ctr9
 	Ranbp1
 	Nr2c1
 	Pex1
 	Itgae
 	Tpr
 	Kptn
 	Sra1
 	Med8
 	Cdc42
 	Tph2
 	Ezh1
 	Ctnnb1
 	Hspa1l
 	Pole
 	Mark3
 	0610009B22Rik
 	4930432K21Rik
 	Adam21
 	Pou6f1
 	Rps25
 	Ifi35
 	Nedd8
 	Gosr1
 	Rpl15
 	Ttll5
 	Tmem175
 	Timm23
 	Prdm15
 	Cluap1
 	Zswim7
 	Ndufa2
 	Hps5
 	Mrps25
 	Tbp
 	Gorasp2
 	Ddx19a
 	Casd1
 	Mrpl32
 	Setdb1
 	Ppil4
 	Gnrh1
 	Prpsap1
 	Ppfibp1
 	Mtif3
 	Kctd5
 	Sdc4
 	Nbr1
 	Brca1
 	Exosc10
 	Taok1
 	Cdc6
 	Wsb1
 	Kpna2
 	C1qbp
 	Chd3
 	Ncor1
 	Pip4k2b
 	Pnpo
 	Mpdu1
 	Pank3
 	Pelp1
 	Psmc3ip
 	Ap4m1
 	Rmnd1
 	Hbs1l
 	Med23
 	Ndufa12
 	Sirt1
 	Tysnd1
 	Pcbd1
 	Tbk1
 	Vps54
 	Cabin1
 	Phlda1
 	Llph
 	Ahsa2
 	Xpo1
 	Canx
 	Clk4
 	Ube2b
 	Stxbp4
 	Tlk2
 	Ddx42
 	Ftsj3
 	Psmc5
 	Nt5c
 	Mrpl38
 	Fbf1
 	Srp68
 	Ankfy1
 	Spag9
 	Fbxl20
 	Ptpn21
 	1110008L16Rik
 	Timm9
 	Serpina3n
 	Pcnx
 	Esyt2
 	Pitrm1
 	Tmed10
 	Traf3
 	Ripk1
 	Prpf4b
 	Riok1
 	Prelid1
 	Fam193b
 	Ddx46
 	Ptdss1
 	Fastkd3
 	Pdcd6
 	Arsk
 	Srd5a1
 	Nsun2
 	Rad17
 	Ptcd2
 	Ankra2
 	Gfm2
 	Polk
 	Aggf1
 	Map3k1
 	Nr1d2
 	Ecd
 	Slmap
 	Eaf1
 	Bap1
 	Phf7
 	Parg
 	Ints9
 	Cab39l
 	Nufip1
 	Rcbtb2
 	Itm2b
 	Uchl3
 	Rbm26
 	Fbxo4
 	Acin1
 	Drosha
 	6030458C11Rik
 	Zfr
 	Rad1
 	Atad2
 	Aco2
 	Hira
 	Trmt2a
 	Nit2
 	Serpind1
 	Top3b
 	Tfrc
 	Snx4
 	Rabl3
 	Gtf2e1
 	Ap2m1
 	Eif4a2
 	Psmg1
 	Map3k12
 	Ube2j2
 	Sfi1
 	Pigx
 	Chd1
 	Polh
 	Mrps18a
 	Guca1a
 	Bysl
 	Slc30a6
 	Ttc27
 	Cebpz
 	Lrpprc
 	Ift140
 	Bnip1
 	Plin3
 	1700061G19Rik
 	Polr2d
 	Sap130
 	Esco1
 	Mib1
 	Wdr33
 	Rpp21
 	Hmgxb3
 	Tmem138
 	Zfp91
 	Mrpl21
 	Pacs1
 	Cpt1a
 	Smc3
 	Pdcd11
 	Nhlrc2
 	Zdhhc16
 	Cutc
 	Erlin1
 	Chuk
 	Parp6
 	Rnf41
 	Cnpy2
 	R3hdm2
 	Pias2
 	Zfp511
 	Sirt3
 	Psmd13
