HeLa (cervix adenocarcinoma); erythroleukemia cells	 
 	AGBL1
 	RPH3AL
 	PTPRK
 	GNA15
 	PXDN
 	SERPINA1
 	CDH4
 	C2orf42
 	PMEPA1
 	MYLK


BPLER cells (breast epithelium); HME1 cells (breast epithelium)	 
 	KIAA0406
 	C22orf9
 	AOF2
 	C1orf172
 	C2orf67
 	HEL308
 	ASAH3L
 	TTLL13
 	KIAA1333
 	GPR56
 	MED24
 	DAPK2
 	POLR3E
 	STRN4
 	GTPBP1
 	ADNP2
 	EYA1
 	HNRNPUL1
 	CSF3
 	STK11
 	PKN1
 	GIPC1
 	OSGIN1
 	CCDC97
 	HSPG2
 	CRABP2
 	VIP
 	NMT2
 	CCDC148
 	PTGER1
 	AFAP1L2
 	CLIC4
 	LDLRAD3
 	SF3B3
 	NCOR2
 	FBXO47
 	ZNF7
 	MATN2
 	CDK5R1


BPE cells (breast epithelium); BPLER cells (breast epithelium); HME1 cells (breast epithelium); MCF7 cells (breast epithelium)	 
 	C20orf135
 	LOC134145
 	C9orf3
 	FLJ37078
 	EHD2
 	ZFAT
 	TRPC7
 	IGF2BP2
 	GLA
 	CAP2
 	HNRNPH2
 	NR0B2
 	MFAP1
 	SERF2
 	EGFR
 	SLC25A31
 	KLHL26
 	ZNF526
 	IRF2BP2
 	UBE2O
 	PXMP2
 	CUEDC1
 	TARSL2
 	SECISBP2
 	PTPN1
 	SRGAP1
 	PKP1
 	STK3
 	SPOCK1
 	TMCC1
 	CARS


BPLER cells (breast epithelium)	 
 	C21orf70
 	C22orf16
 	C1orf160
 	UTP11L
 	C1orf66
 	PVRL4
 	TESSP5
 	MFI2
 	C2orf37
 	MOBKL3
 	SFRS12IP1
 	SDCCAG10
 	JMJD1B
 	CCDC98
 	LOC100113407
 	PARC
 	C6orf108
 	C6orf150
 	C9orf156
 	C9orf75
 	GPR124
 	C8orf55
 	C8orf73
 	NAPRT1
 	PLEC1
 	FLJ22374
 	SUNC1
 	C7orf55
 	HSPC152
 	C11orf2
 	SLC22A20
 	ADRBK1
 	KILLIN
 	C10orf4
 	RP11-529I10.4
 	FAM26B
 	FAM26C
 	NOL1
 	MLL2
 	FAM62A
 	C14orf112
 	KIAA1737
 	C17orf76
 	GSDM1
 	MYST2
 	TRIM47
 	FLJ25404
 	SEPTIN1
 	SAPS1
 	CIAPIN1
 	MAP3K9
 	CRY1
 	NFIX
 	ZNF207
 	ZC3H3
 	NUDCD3
 	VEZT
 	PEX3
 	RPL26L1
 	MRTO4
 	PSD
 	NGFR
 	ABCA7
 	DHX8
 	COASY
 	PABPC1
 	CPSF1
 	FSCN1
 	CADPS2
 	CD59
 	COQ9
 	NSFL1C
 	LHX5
 	ZBTB25
 	SLC9A1
 	SCFD1
 	MYL6
 	UNC13D
 	PDE6C
 	MMP11
 	HPS4
 	RHBDD3
 	RIN3
 	HCK
 	TM9SF4
 	GABRE
 	TSNAXIP1
 	NECAB2
 	BMF
 	NCALD
 	PTOV1
 	PRX
 	TTC26
 	LFNG
 	TBC1D13
 	DVL1
 	PSMD3
 	C17orf75
 	DTX4
 	MED23
 	ERGIC1
 	DBN1
 	SLC41A3
 	COMMD2
 	KCNIP3
 	APC2
 	CHST10
 	SLC2A1
 	NEK6
 	C19orf25
 	CNNM1
 	NUDCD1
 	ENY2
 	KBTBD7
 	FAM53C
 	SH2D3A
 	OPA3
 	GRPR
 	PCID2
 	SLURP1
 	PRRG2
 	ZBTB1
 	STYXL1
 	SPECC1
 	PODXL
 	UBAC1
 	KREMEN2
 	NES
 	BCAN
 	IGHMBP2
 	HSPBP1
 	USP30
 	CCDC115
 	IMP4
 	HEMGN
 	RPL35
 	IL11RA
 	MTCH1
 	KHK
 	EMILIN1
 	SHF
 	SEMA7A
 	UBL7
 	ALG10
 	ESR2
 	BAHD1
 	RPS2
 	NCOR1
 	RANBP10
 	VPS53
 	NARF
 	VAV1
 	NOSIP
 	NUF2
 	MRPL24
 	HDGF
 	TRIM7
 	MDH2
 	CCT6A
 	PSPH
 	GSN
 	REXO4
 	DNAJB12
 	LRRC27
 	MRPL49
 	FAU
 	TM7SF2
 	FAM57B
 	TIAL1
 	NEIL2
 	DPY19L4
 	IFNAR2
 	LY6K
 	PPP1R16A
 	RPL8
 	CYGB
 	CLPB
 	SLC25A45
 	RPL29
 	ZFPL1
 	LZIC
 	MXRA8
 	B3GALNT2
 	MRPS18C
 	IL17RC
 	CRELD1
 	TIGD6
 	ZNF704
 	WNK2
 	PMPCA
 	TTC7B
 	POLL
 	WDR88
 	TMED3
 	MRPL16
 	SLC27A4
 	ZNF180
 	RPL13
 	RHEBL1
 	MFSD3
 	GPT
 	KIFC2
 	ING5
 	STX18
 	TBC1D10B
 	C22orf15
 	PTK2
 	GUSB
 	TSNARE1
 	SPSB1
 	RPS7
 	FUT10
 	ANKRD13D
 	HPSE2
 	ESRRA
 	RHOD
 	NMNAT1
 	PCCA
 	CLCF1
 	C11orf68
 	SSNA1
 	ANAPC2
 	LMNB2
 	CD151
 	PARP10
 	PFAS
 	SHARPIN
 	RNF151
 	MAF1
 	PUF60
 	LYNX1
 	MYLPF
 	D2HGDH
 	MRPS23
 	TNRC18
 	ZSCAN22
 	CAPN12
 	HMGN4
 	FHL3
 	SF3A3
 	TBL3
 	NDUFA12
 	SORCS2
 	NRBP2
 	RAB11B
 	ARL15
 	SHC4
 	LCE1E
 	EFCAB6
 	TMEM203
 	CYHR1
 	NDOR1
 	S100A16
 	ADAT2
 	ZNF250
 	SIRPB2
 	RYR1
 	NOXO1
 	MYL6B
 	METTL9
 	SERTAD1
 	MRPL21
 	SSPO
 	RAB40C
 	SPG7
 	CALM1
 	TYW1
 	LGALS7
 	XKR4
 	GALT
 	JRK
 	IL10RB
 	ACY1
 	ITGB3
 	CEACAM20
 	PARN
 	GRIFIN
 	PSMB3
 	UHRF1
 	PCGF2
 	ACTN4
 	CYC1
 	DRAP1
 	EEF1D
 	FEM1B
 	GOT1
 	HSD17B1
 	HUS1
 	LRRFIP2
 	MBD4
 	NBN
 	PDCD11
 	RAB2A
 	SDCCAG3
 	SLC39A4
 	SRRD
 	ANXA4


BPLER cells (breast epithelium); HeLa (cervix adenocarcinoma)	 
 	KIAA0090
 	SFRS7
 	WDR67
 	MLL
 	NFKB2
 	PPM1A
 	BRF2
 	NDRG1
 	CHD4
 	ABCC5
 	STX16
 	DNAJA4
 	ZCCHC2
 	SOX13
 	LRP12
 	RANBP2
 	KLF10
 	THAP11
 	POLD4
 	ZNF467
 	S100A13
 	S100A14
 	PAX5
 	WDR45
 	SYNJ2BP
