HeLa (cervix adenocarcinoma); erythroleukemia cells	 
 	KIAA0753
 	INPP5B
 	RUFY2
 	ZNF616
 	SPINK9
 	SNX2
 	STK38L
 	DENND1B
 	STARD10
 	AKAP2
 	ZNF718
 	PRKDC
 	OR9A4
 	CLEC5A
 	MRPL46
 	IQSEC3
 	ZNF595
 	NAPEPLD
 	C20orf94
 	C20orf79
 	C20orf152
 	SFRS6
 	C22orf36
 	AFAR3
 	EIF2C1
 	C1orf149
 	WDR65
 	C1orf32
 	RAB7L1
 	C1orf71
 	DKFZp667G2110
 	C2orf43
 	C2orf39
 	SEPTIN10
 	IL1F6
 	C2orf25
 	LOC129881
 	FLJ38973
 	C2orf60
 	ACCN4
 	FAM134B
 	RNASEN
 	DKFZP686E2158
 	C4orf22
 	PGDS
 	C4orf37
 	CCDC109B
 	C6orf32
 	C6orf10
 	KIAA0240
 	C6orf199
 	C6orf103
 	C8orf13
 	KIAA1429
 	ARS2
 	HDHD1A
 	RNF12
 	ASAM
 	MGEA5
 	C13orf26
 	OAS1
 	KIAA0574
 	NOPE
 	PTPLAD1
 	KIAA1199
 	ERO1L
 	DLG7
 	KIAA0317
 	METT10D
 	FAM33A
 	C19orf19
 	UQCR
 	KIAA0802
 	C18orf8
 	C18orf34
 	PHLPP
 	PROM1
 	DNAH9
 	SYN1
 	SLC38A5
 	PHF20
 	TLL1
 	TNC
 	CNTLN
 	DTNBP1
 	SNX29
 	MCOLN3
 	RC3H2
 	TARBP1
 	BCAS1
 	ANKS1A
 	UHRF1BP1
 	ANKRD44
 	PPP2R5A
 	PRR11
 	GUCY2C
 	AP3M2
 	NCK2
 	MGAT4A
 	MBD3
 	CYBRD1
 	SLC6A15
 	FERMT2
 	FRY
 	MGLL
 	NTN4
 	SLC24A1
 	RAB7A
 	AMPH
 	MCCC1
 	CBFA2T2
 	TNS1
 	PCNP
 	RBM41
 	RCOR1
 	BLVRB
 	LAMB1
 	DLD
 	CMTM6
 	SRPK1
 	SNRPD3
 	TRIM9
 	CHGA
 	SEC23A
 	GSS
 	SPEF1
 	ANGPT4
 	RSPO4
 	HAO1
 	CHMP4B
 	VAPA
 	POLA1
 	PRPS2
 	BMX
 	ASB9
 	ABCC1
 	ARHGEF18
 	AMH
 	PBX4
 	GRB10
 	RPA3
 	CHCHD3
 	ERLIN1
 	SHOC2
 	GOSR2
 	MED13
 	INPP4B
 	STIM2
 	RNF141
 	SYT10
 	PRR4
 	FBXL4
 	TRIM38
 	QKI
 	NME5
 	BRD8
 	WWC1
 	MRPL3
 	PEX5L
 	OTOF
 	ACADL
 	GGCX
 	BCL9
 	PAPPA2
 	KIAA1324
 	NID1
 	SLAMF1
 	PTCH2
 	ABCG2
 	KLF12
 	HS1BP3
 	OGFRL1
 	SMNDC1
 	INSL6
 	DNAJC15
 	WBP4
 	UTP20
 	ARL1
 	COPS5
 	ECD
 	C4BPB
 	CHPF
 	TMEM189-UBE2V1
 	CXCL6
 	TM9SF2
 	CENPB
 	MMP24
 	FAM83C
 	PTPRB
 	DYRK2
 	HP1BP3
 	AAMP
 	PNKD
 	TTBK2
 	REEP5
 	NDUFA10
 	ACSS2
 	DIAPH1
 	BTBD3
 	RIN2
 	CTNNBL1
 	WDR74
 	TMTC1
 	AMPD3
 	ADAMDEC1
 	CHIA
 	SPIRE1
 	PIWIL4
 	PUM1
 	TIMM10
 	MAP3K7
 	REPS1
 	KIAA0513
 	TMBIM1
 	MYCBPAP
 	IL1F10
 	SLC31A2
 	TLR4
 	MAP2K5
 	SLC40A1
 	APH1B
 	BMP2K
 	USO1
 	ANXA3
 	ETNK1
 	LNX2
 	BRCA2
 	WDFY2
 	USP3
 	ITGAX
 	TAF4B
 	NPC1
 	SYT14
 	NXPH2
 	NDUFS6
 	IQGAP2
 	ADAMTS19
 	FARS2
 	HIGD2A
 	SHC3
 	ACTL7B
 	PDSS1
 	RGS10
 	FOXO1
 	ASTN1
 	GEMIN6
 	ATG10
 	TEKT5
 	RASSF3
 	TMPRSS11D
 	ABI3BP
 	ATP6V1C1
 	GNA14
 	SH3RF2
 	ZFAND3
 	ITGAD
 	FCHO2
 	KIT
 	KCNJ15
 	TMEM164
 	NRG2
 	HSF2BP
 	DIP2A
 	STX5
 	SLC1A7
 	MYSM1
 	C1QTNF7
 	DHX57
 	CADPS
 	PTPN13
 	RBM47
 	TGM4
 	NDUFAF2
 	KCNV1
 	TMC1
 	API5
 	TRIM44
 	BLCAP
 	NOD2
 	JSRP1
 	SETD5
 	HIST3H3
 	NPNT
 	ATOH8
 	LMAN2
 	ROBO1
 	STX8
 	DCLK2
 	PKIA
 	MAP6
 	PLRG1
 	MLLT3
 	MAL
 	TP53RK
 	CCDC36
 	WFIKKN2
 	TLR10
 	ZHX3
 	DENND4A
 	CD164L2
 	ATR
 	PACS1
 	MCTP1
 	PRIMA1
 	UFSP1
 	UBE2N
 	SNX18
 	HTR1D
 	GPBAR1
 	GLIPR1L2
 	OFCC1
 	SETD2
 	GAS6
 	CCR4
 	C6orf58
 	PIWIL3
 	SLC24A3
 	GAS2L1
 	ZBTB6
 	POLR1D
 	SLC36A3
 	NHEJ1
 	TMEM198
 	NYX
 	AADACL3
 	LITAF
 	LIN54
 	SH2D5
 	PIK3R4
 	HDAC2
 	ZNF33B
 	GM2A
 	SIPA1L1
 	PARVA
 	NKIRAS1
 	VPS13A
 	RYR3
 	TAS2R50
 	S1PR3
 	FNIP1
 	SLC12A8
 	PRH1
 	TMEFF1
 	EIF6
 	UBE2V1
 	XKR7
 	CCPG1
 	GRIN2B
 	NOL12
 	HIST1H4F
 	TRPM1
 	HIST1H4G
 	HIST1H2BH
 	NCF4
 	SDCCAG8
 	HIST1H3F
 	GGT1


BPE cells (breast epithelium); HeLa (cervix adenocarcinoma)	 
 	FEZ2
 	RAD54B
 	ZFX
 	MEIS2
 	TSSC1
 	JMJD2B
 	TFPI
 	AP3D1
 	CTNNA2
 	GNB1
 	SMOX
 	HCFC2
 	GPD2
 	USP34
 	AHDC1
 	E2F5
 	BRIP1
 	KCTD3
 	RANBP6
 	LGR5
 	NCOA2
 	PELP1
 	WDR26
 	CDC40
 	GAP43
 	MALT1
 	PHF8
 	IPP
 	ATG7
 	MAN1A2
 	WWP2
 	MAP3K3
 	OR2W5
 	RNF103
 	CYR61
 	HSPC111
 	ABHD5
 	CD44
 	PIAS1
 	KITLG
 	NNAT
 	ST3GAL6
 	NDUFB4
 	KLHL20
 	PTPN4
 	SLC25A36
 	SLC25A12
 	RND3
 	CTH
 	EIF2S2
 	MDFIC
 	PRRG4
 	TBC1D4
 	TTLL7
 	PPIG
 	PRCC
 	EDNRA
 	SSBP3
 	ERG
 	XDH
 	RUNX1
 	LMNA
 	ITGA5
 	PDLIM5
 	MSX1
 	DNAJB14
 	GALNT10
 	EFNA1
 	NUDT4
 	CLTB
 	ZNF197
 	ESRRG
 	PIWIL2
 	TOP1
 	TGM2
 	ZNF350


BPE cells (breast epithelium); K562 cells (erythroleukemia cells)	 
 	PTPN2
 	C5orf32
 	C16orf45
 	NADK
 	TSPAN9
 	OFD1
 	HDAC9
 	PDIA5
 	PLCB4
 	EBF3
 	PRDX1
 	ARHGAP17
 	SIRT3
 	GFOD1
 	A2ML1
 	FMR1NB
 	PNPLA1
 	SLC25A42
 	PURA
 	C1orf213
 	PAX7
 	ALX4
 	MRVI1
 	MLH1
 	ACHE
 	PTGS1
 	CNRIP1
 	ZNF436
 	GATA5
 	ATP6V1C2
 	ZAN
 	SLC13A3
 	BRWD3
 	EPM2AIP1
 	TSHZ2
 	DSCR4
 	DCHS2
 	DNAH10
 	MEGF11
 	MAPT


BPE cells (breast epithelium); HME1 cells (breast epithelium); MCF7 cells (breast epithelium)	 
 	C1orf103
 	C9orf96
 	LOC162073
 	LOC126147
 	C6orf48
 	IGF2BP1


HME1 cells (breast epithelium); K562 cells (erythroleukemia cells)	 
 	SCYL3
 	MATR3
 	ME1
 	DNTTIP2
 	DOCK8
 	TMEM97
 	RTN4
 	RAMP1
 	STAT2
 	C21orf33
 	C6orf70
 	C15orf42
 	BID
 	FSTL4
 	EYA2
 	GLI2
 	SSH1
 	ALG9
 	ADAMTS2
 	DOCK9
 	TNPO2
 	BAG2
 	CCDC92
 	STARD13
 	SH3GL3
 	SOD1
 	GRIK4
 	HNRNPU
 	FTCD
 	LSM12
 	CASC4
 	RHOH
 	ZNF747
 	DLGAP1
 	C1QTNF1
 	ZDHHC14
 	C1orf127
 	TCTE3
 	PRMT3
 	ANKRD37
 	TBCD


BPE cells (breast epithelium); HME1 cells (breast epithelium); HeLa (cervix adenocarcinoma); K562 cells (erythroleukemia cells); MCF7 cells (breast epithelium)	 
 	LTBP1
 	DCLRE1B
 	HSPA1B


HME1 cells (breast epithelium); HeLa (cervix adenocarcinoma); K562 cells (erythroleukemia cells)	 
 	TBL1X
 	TMOD3
 	CHRNA5
 	FTL
 	HCN2
 	ITPK1
 	HSD17B7
 	TPP1
 	PRDM10
 	CHST11
 	NKRF


BPE cells (breast epithelium); HME1 cells (breast epithelium); HeLa (cervix adenocarcinoma); MCF7 cells (breast epithelium)	 
 	ABHD11


BPE cells (breast epithelium); HME1 cells (breast epithelium); K562 cells (erythroleukemia cells); MCF7 cells (breast epithelium)	 
 	LIAS
 	AP4B1
 	C20orf197
 	C11orf73
 	ZMYND8


HME1 cells (breast epithelium); MCF7 cells (breast epithelium)	 
 	SLIT3
 	DENND2C
 	PRICKLE2
 	PPM1E
 	INTS2
 	FLJ22222


BPE cells (breast epithelium); HeLa (cervix adenocarcinoma); MCF7 cells (breast epithelium)	 
 	CPS1
 	DSCAM


BPE cells (breast epithelium); MCF7 cells (breast epithelium)	 
 	AUTS2
 	FASN
 	USP32
 	TRIM33
 	PTPRG
 	ATP9A


BPE cells (breast epithelium); HeLa (cervix adenocarcinoma); K562 cells (erythroleukemia cells)	 
 	GNG12
 	SS18L1
 	ANK1
 	SRPK2
 	CACNA1A
 	GREB1


BPE cells (breast epithelium); HeLa (cervix adenocarcinoma); K562 cells (erythroleukemia cells); MCF7 cells (breast epithelium)	 
 	JUN


MCF7 cells (breast epithelium)	 
 	SULF2
 	DOK5
 	PTPN22
 	BCL2L15
 	RPS6KB1
 	CA4
 	BCAS3
 	PREX1
 	NTNG1
 	OLFML3
 	CD160
 	PDZK1
 	LGTN
 	THOC7
 	ADAMTS9
 	AHSA2
 	UBXD8
 	SEMA4D
 	DIP2C
 	NAP1L1
 	C15orf29
 	LOXL1
 	C15orf40
 	BTBD1
 	SLC35B1
 	FAM117A
 	TRIM37
 	MARCHF10
 	PECAM1


HeLa (cervix adenocarcinoma); MCF7 cells (breast epithelium)	 
 	TUBD1
 	APPBP2
 	HIPK1


K562 cells (erythroleukemia cells); MCF7 cells (breast epithelium)	 
 	SLC9A8
 	SHANK2


HME1 cells (breast epithelium); K562 cells (erythroleukemia cells); MCF7 cells (breast epithelium)	 
 	MSI2
 	HEXDC


BPLER cells (breast epithelium); HeLa (cervix adenocarcinoma); K562 cells (erythroleukemia cells); MCF7 cells (breast epithelium)	 
 	CBS


HeLa (cervix adenocarcinoma)	 
 	FLJ20160
 	CELSR2
 	KCTD18
 	BBS5
 	HYPB
 	FNBP1L
 	BAI2
 	LOC63929
 	JARID1A
 	EDARADD
 	ODC1
 	RALB
 	PARK7
 	RAD18
 	TARDBP
 	C1QB
 	DUSP19
 	CD48
 	ALS2CR4
 	TPM3
 	DAB1
 	MICA
 	SCNM1
 	ATP1B1
 	HSPCB
 	BOLA3
 	EGR4
 	FBXO42
 	GBP4
 	TMEM52 
 	C1orf90
 	FBF1
 	C21orf51
 	DEGS1
 	FCRL5
 	LRRN1
 	PCAF
 	CCDC19
 	MLPH
 	ACADM
 	ATP2B3
 	ADRA2B
 	TSPAN2
 	HNRPA2B1
 	MTCBP-1
 	ZNF651
 	TMEM51
 	COL7A1
 	RY1
 	CENTB5
 	TACSTD1
 	RANBP2L1
 	RBP7
 	SCTR
 	SIX2
 	MEF2D
 	GNG4
 	STXBP3
 	SLC16A14
 	PTD004
 	RER1
 	SNFT
 	GGPS1
 	ANKRD9
 	MPN2
 	ZNF533
 	IFNA16
 	MGC50811
 	DOCK7
 	SLAMF7
 	NUP88
 	EPRS
 	SECP43
 	FY
 	DPM3
 	LEFTY2
 	SP5
 	IGFBP5
 	DNMT2
 	ABHD1
 	KIAA1049
 	PTPN18
 	CASP9
 	Cep192
 	PTK9L
 	CPT2
 	ASB17
 	TMEM63A
 	TRIT1
 	LEFTY1
 	NR4A2
 	HSPA9B
 	CIDEC
 	ACO2
 	OAZ3
 	SCCPDH
 	EEF1B2
 	C4orf6
 	RORC
 	MGST1
 	OTOS
 	KIAA1383
 	MAP2
 	BRD9
 	MGC4308
 	MGC2474
 	ALDH9A1
 	PSMB2
 	ABCB10
 	ITGAM
 	VHLL
 	C1orf89
 	RPL34
 	INPP5D
 	ALS2CR13
 	ZNF684
 	GPX7
 	ATP2B4
 	GTDC1
 	KCNAB2
 	SNX17
 	ETNK2
 	SELL
 	C2orf17
 	HRNR
 	H19
 	SAP130
 	CLCC1
 	KISS1
 	HIST2H2AA
 	LOC606495
 	FLJ21820
 	LAMB2
 	EN1
 	ITGB6
 	PFKFB4
 	IGSF21
 	FLJ20422
 	PPP3R1
 	CMYA1
 	MYL3
 	UBD
 	IGFBP2
 	AGO61
 	POGK
 	ESPNP
 	ZFAND2B
 	MUC1
 	HFE2
 	CDCA8
 	SLC30A1
 	NAB1
 	SYT6
 	C1orf22
 	CASR
 	KIAA1571
 	GPRC5B
 	TTN
 	KIAA0754
 	SYT8
 	PLA2G2A
 	RGS7
 	LOC130951
 	ALDH4A1
 	NOSTRIN
 	GRIK3
 	FBXW10
 	SSFA2
 	CNOT10
 	PGEA1
 	BMP4
 	TOR1AIP2
 	HYAL3
 	FOXJ1
 	TATDN2
 	IL18BP
 	RPL23AP7
 	REG3A
 	DCST2
 	TXNDC14
 	C1orf64
 	MFSD2
 	UBL4B
 	EXOSC10
 	MOBK1B
 	SUMF1 
 	BCDO2
 	GTF2B
 	KCMF1
 	MAN1C1
 	LIN28
 	YOD1
 	RCSD1
 	CTTNBP2NL
 	HES2
 	SDPR
 	ST3GAL5
 	EIF2B3
 	PTN
 	PRDX3
 	FLJ14981
 	C1orf159
 	RPL10A
 	OXSR1
 	OXCT2
 	ADORA1
 	MRPS21
 	DUSP7
 	WDR12
 	STMN1
 	MAPKAPK3
 	C2orf14
 	C1orf76
 	NEK10
 	LHX8
 	FEV
 	RHOC
 	LRRC7
 	FCGR2B
 	LAX1
 	CRYGD
 	PDE1A
 	ATPAF1
 	TMEM58
 	TSPAN1
 	S100A9
 	FABP3
 	MAEL
 	CRB1
 	FLJ25084
 	EDG7
 	PGBD2
 	C1orf51
 	FNBP3
 	MYCN
 	ANKRD38
 	TRIM26
 	STK25
 	KIAA1641
 	EXOC8
 	KIAA0859
 	GNPAT
 	ARPC2
 	SLC2A5
 	HSD3B1
 	KIAA1639
 	ZNF620
 	EDG1
 	MRPL9
 	TUFT1
 	RHOU
 	LOC55974
 	KCNA10
 	TREX1
 	RGS8
 	ZNF513
 	RPS27A
 	RNU3IP2
 	S100PBPR
 	VprBP
 	C1orf165
 	PSD4
 	PL6
 	LBX2
 	WDR39
 	H2-ALPHA
 	GON4
 	CASQ2
 	GPR89
 	SPHAR
 	KIAA1804
 	FCRLM2
 	PRPF38B
 	NRD1
 	TOR3A
 	EAF1
 	ISG20L2
 	BAP1
 	FAHD2A
 	DIO2
 	ATG4B
 	DKFZp547E052
 	SCN5A
 	C1orf123
 	OCIAD1
 	TMEM59
 	TMEM17
 	C21orf62
 	RNF123
 	KCNF1
 	MMP23A
 	UCHL1
 	WDR6
 	C1orf114
 	CYB561D2
 	CCDC12
 	PTHLH
 	PDZK3
 	KIAA1414
 	TMOD4
 	ANKRD45
 	OR2M3
 	HNRPR
 	GYPC
 	THAP2
 	MTF2
 	EDN1
 	OR2T33
 	PSMD4
 	LYPLA2
 	PTDSR
 	LCE3B
 	NUP133
 	EDN2
 	ADAM15
 	MGC52498
 	FLJ14681
 	KLF2
 	S100A5
 	VPS54
 	ANKRD23
 	USP48
 	GLT25D2
 	CD28
 	REG1A
 	IL8RB
 	ATF5
 	CAPZB
 	ADORA3
 	POLR3C
 	CR2
 	SPRR3
 	HIST2H2BE
 	KLF6
 	FOXE3
 	UNQ6975
 	SF3B4
 	ZNF142
 	TRIM43
 	CSMD2
 	DKFZp434O0527
 	FLJ10081
 	FLJ21945
 	SLC26A9
 	HS6ST1
 	GPATC3
 	SRRM1
 	GJB5
 	PLCD4
 	KIAA0460
 	ZNF589
 	CD84
 	MGC10334
 	AGRN
 	C1orf121
 	OR10J3
 	KIAA0133
 	RBMXL1
 	PQLC2
 	GSTM4
 	PANK4
 	DISP1
 	OR2G3
 	GSTM5
 	SYT2
 	SLC45A3
 	DIO1
 	PPT1
 	PPIAL4
 	OR6N2
 	OR10Z1
 	SYTL1
 	OR10J5
 	ZNF265
 	XCL2
 	AHCYL1
 	STX12
 	PIGC
 	NRAS
 	ERO1LB
 	ARPM2
 	F5
 	C1orf158
 	MARCH4 
 	OR2L3
 	FAM49A
 	SLC22A13
 	HOXD1
 	ZNF383
 	OR4F5
 	OR2T11
 	RAP140
 	OR4F17
 	DSCR8
 	OR2M4
 	CRYGA
 	OR2T29
 	DYSF
 	OR2M1P
 	CNTNAP5
 	GUCY1A3
 	OR1D4
 	SNTG2
 	MGC15429
 	CKLFSF7
 	LOC129285
 	OR2AK2
 	DLX1
 	GDF8
 	ZNF502
 	UGT3A1
 	DKFZp434N062
 	CNTN4
 	C9orf27
 	LEREPO4
 	SPATA3
 	CXCL9
 	ZAP70
 	OR1D2
 	OR11H1
 	VAX2
 	SLB
 	FLJ32810
 	KRT25D
 	TMEM76
 	OR10X1
 	GPR65
 	OR5AK2
 	ZNF226
 	C1orf110
 	DEFB28
 	NALP14
 	OR10V1
 	FLJ11088
 	IL2
 	SLC44A5
 	SUCNR1
 	OR5AS1
 	C11orf54 
 	OR4Q3
 	C10orf74
 	CLEC1B
 	MGC35212
 	OR5R1
 	TAS2R10
 	UNQ6411
 	MS4A2
 	LOC440345
 	KIAA1524
 	UNQ9356
 	CSAG2
 	CD69
 	DKFZp761D112
 	YIPF5
 	OR4A16
 	PPP4R2
 	UPF2
 	TRDN
 	OR4C13
 	DKFZP586P0123
 	LSMEM1 
 	VHLL 
 	OR2B6 
 	DEDD2 
 	ARL14EPL 
 	ATF7IP2 
 	BAG3 
 	LRRC59 
 	HES1 
 	ZNF10 
 	ARL4D 
 	CD14 
 	NABP1 
 	EGR3 
 	LEAP2 
 	KRBA2 
 	ERO1LB 
 	FCGR1B 
 	DCAF4L1 
 	PLAC8L1 
 	EFCAB12 
 	PCBD2 
 	ACRC 
 	SPDYA 
 	ATP1B2 
 	JUND 
 	TRIML2 
 	PFKFB4 
 	LRRC70 
 	ITFG2
 	B3GALT4 
 	GLB1L 
 	BCL6 
 	TPT1 
 	FOXD4L6 
 	BCL2L11 
 	IER2 
 	TMC4 
 	OTUD1 
 	ACTBL2 
 	FOS 
 	HYAL1 
 	GSTM2 
 	JMJD6 
 	CXCL11 
 	SSX4B 
 	MUM1 
 	SLC45A2 
 	SUMO4 
 	NPIPB8
 	NPIPB9 
 	OVGP1 
 	HIBCH 
 	FBXO48 
 	NPPC 
 	AKAP5 
 	SNIP1 
 	FAM227A 
 	LENG1 
 	THOC6 
 	ANKRD36B 
 	C5AR1 
 	AOC3 
 	BDKRB1 
 	CCDC144A 
 	NMB 
 	DNAJC4 
 	AHSA1 
 	EPPK1 
 	PLA2G10 
 	CFP 
 	CDKL2 
 	TRPV1 
 	COL7A1 
 	ZNF596 
 	HIPK4 
 	UCN2 
 	TARM1 
 	ANKAR 
 	CBY1 
 	NHLH1 
 	ULBP1 
 	NUTM2D 
 	DLX3 
 	CHADL 
 	FKBP4 
 	VWA7 
 	MYL12B 
 	ARL9 
 	ADSSL1 
 	GDF15 
 	SMAD7 
 	OSER1 
 	HIST2H2BF 
 	MB21D1 
 	SLC9A3 
 	POTEJ 
 	CRYGS 
 	KLC1 
 	ZNF251 
 	TEX43 
 	HCP5 
 	DTX2 
 	KRTAP5-2 
 	INTS6 
 	LRP2BP 
 	JUNB 
 	TRIM69 
 	TEX14 
 	NBPF14 
 	TRIM15 
 	CATSPER3 
 	FABP3 
 	ZNF394 
 	ZNF610 
 	VCX3B 
 	TMEM204 
 	MRC1 
 	FRZB 
 	FBLL1 
 	HPX 
 	MSH4 
 	HERPUD1 
 	SLC35A2 
 	TRMT112 
 	CHRNB1 
 	ZNF519 
 	OR1B1 
 	BAAT 
 	NUDT22 
 	LRIF1 
 	TMEM31 
 	USP18 
 	NPIPB3 
 	RRAD 
 	ARID3A 
 	KDM2A 
 	PDE4DIP 
 	MOBP 
 	APTX 
 	METTL16
 	PCID2 
 	SMG1 
 	GCNT4 
 	CYP2C18 
 	FAM209A
 	FAM209B 
 	TRAJ39 
 	ZNF473 
 	PROCA1 
 	FAM222A 
 	THSD1 
 	ANKRD10 
 	DCAF8 
 	SLC26A4 
 	LETM2 
 	MMRN2 
 	TLR7 
 	GPR115 
 	CDKN2B 
 	UBA7 
 	PHEX 
 	NUCB1 
 	CNTD1 
 	NPIPB15 
 	LPAR5 
 	TNFSF14 
 	ABHD16B 
 	RXRA 
 	ENO2 
 	DGKE 
 	EMP1 
 	CCDC30 
 	TAS2R20 
 	SELK 
 	SRD5A1 
 	BHLHE41 
 	CD44 
 	PLXDC2 
 	TGFB2 
 	TDG 
 	C3orf52 
 	ITGA4 
 	GCLM 
 	FUT4 
 	AMIGO2 
 	ZNF639 
 	MTAP 
 	MTMR11 
 	GBP1 
 	UQCRFS1 
 	SRI 
 	ATF5 
 	RCBTB1 
 	CXorf38 
 	SETD6 
 	NEU3 
 	PRKX 
 	SLC5A6 
 	OR2G6 
 	MAPK8 
 	ZSCAN32 
 	ZNF550 
 	NUDT12 
 	MIER2 
 	FADD 
 	RAB3B 
 	ACTR5 
 	CPPED1 
 	ELOVL2 
 	TAF5 
 	ZNF786 
 	POLE2 
 	MAPK7 
 	FBXO5 
 	PWP2 
 	GEMIN6 
 	RPS18 
 	FBXO22 
 	LRRCC1 
 	SLC1A6 
 	OXSM 
 	ARMC10 
 	VPS18 
 	RPUSD2 
 	HIST1H2BM 
 	INTS5 
 	KIAA1586 
 	ZNF587B 
 	POLR1B 
 	ZNF691 
 	TGDS 
 	LYSMD2 
 	HOXA11 
 	NBPF20 
 	FASTKD3 
 	GEMIN2 
 	GTPBP8 
 	OR1M1 
 	TRIM27 
 	ZNF284 
 	COA5 
 	FBXO9 
 	ABCA1
 	ABCC8
 	ADRB1
 	ALOX12P2
 	AMACR
 	APOC3
 	AQP1
 	ARG2
 	ARHGAP15
 	B3GNT4
 	BCOR
 	C10orf10
 	C11orf9
 	C13orf22
 	CALML3
 	CAMK2B
 	CCIN
 	CDKN1A
 	CEBPA
 	CEBPD
 	CLEC10A
 	CROCC
 	CXYorf2
 	CYorf14
 	DATF1
 	DDIT3
 	EGR1
 	EGR2
 	ENC2
 	EPX
 	FAIM3
 	FBXO4
 	FGFR1
 	FLJ13646
 	FLJ20315
 	FLJ40083
 	FRK
 	FUT1
 	FUT6
 	GADD45A
 	GADD45B
 	GDF15
 	H1F0
 	HBA1
 	HBA2
 	HBZ
 	HERPUD1
 	HIST1H2AC
 	HIST1H3D
 	HS747E2A
 	ICOSLG
 	ID3
 	IGF2AS
 	IL16
 	IL6
 	KIAA0953
 	KIAA1387
 	KLK7
 	LAIR2
 	LENG4
 	LHX3
 	LTF
 	MAC30
 	MAFB
 	MAPK8IP2
 	MBD5
 	MLL4
 	MTHFR
 	MYO7B
 	NFKBIE
 	NPPB
 	OASL
 	OR2H2
 	PAMCI
 	PCDH21
 	PCDHA2
 	PHKG1
 	PKNOX1
 	PLA2G10
 	PLEKHF2
 	PPY
 	PRB1
 	PRB2
 	PRDM4
 	PRLH
 	PSPN
 	PTP4A3
 	PYY2
 	RECQL5
 	RGS16
 	RPL3L
 	RRP22
 	SDS
 	SEMA4G
 	SH2D1A
 	SH3TC1
 	SIAH2
 	SMAD1
 	SOCS1
 	SQRDL
 	TFF2
 	TGDS
 	TOB2
 	TPO
 	TRIM15
 	TSC22D3
 	TXNIP
 	UNG2
 	WIT-1
 	WNT11
 	XK
 	ZFP36
 	ZNF187
 	ZNF307
 	ZNF394
 	ABCB1
 	ABCB4
 	ABCC6
 	ABO
 	ADRA1D
 	AEBP1
 	ALOX5
 	ALPP
 	ALPPL2
 	AMIGO2
 	AMOTL2
 	APBB3
 	APOBEC3B
 	APOL6
 	AREG
 	ARF4L
 	ARHGDIA
 	ARHGDIB
 	ARL7
 	ARMCX5
 	ARPC4
 	ATP5D
 	ATXN7L1
 	B3GAT3
 	B4GALT1
 	BACH1
 	BAMBI
 	BCL3
 	BENE
 	BIK
 	Bles03
 	BPY2IP1
 	C11orf17
 	NUAK2
 	C14orf32
 	C14orf79
 	C16orf44
 	C19orf21
 	C1QDC1
 	C20orf149
 	C20orf18
 	C2orf26
 	C6orf120
 	C6orf145
 	C6orf155
 	C9orf114
 	C9orf16
 	C9orf7
 	C9orf9
 	CACNB1
 	CALM3
 	CALR
 	CAMTA2
 	CBX4
 	CCND1
 	CCR10
 	CDC42BPB
 	CDC42EP1
 	CDCP1
 	CDK2AP2
 	CDT1
 	CEACAM1
 	CELP
 	CEP2
 	CHMP6
 	CHST2
 	CIR
 	CIRBP
 	CITED2
 	CLDN3
 	CLEC2B
 	CLEC3B
 	COL16A1
 	COL9A1
 	CORO1A
 	CORO1B
 	COTL1
 	CRYGC
 	CTGF
 	CTSD
 	CXCL1
 	CXCL2
 	CXCL3
 	CSPG2
 	CSTF2T
 	DAAM1
 	DAPK3
 	DHRS2
 	DIPA
 	DKFZP434H132
 	DKFZP586J0619
 	DLEU2
 	BCMSUNL
 	DMBT1
 	DMRT1
 	DOCK6
 	DOK1
 	DULLARD
 	DUS1L
 	DUS4L
 	DUSP4
 	DUSP6
 	DXS9879E
 	DYRK4
 	EBI3
 	ECHDC3
 	ECM1
 	ECM2
 	EEF1A2
 	EFNB1
 	EML2
 	EMP1
 	ENC1
 	ENG
 	EPPK1
 	ERCC1
 	EREG
 	ETV4
 	ETV5
 	F2RL1
 	FAM11B
 	FAM50B
 	FBXL15
 	FCHO1
 	FGFR2
 	FLJ10490
 	FLJ10781
 	FLJ13868
 	FLJ13946
 	FLJ20130
 	FLJ20152
 	FLJ20273
 	FLJ20489
 	FLJ22028
 	FLJ23560
 	FLJ41131
 	FOSB
 	FOSL1
 	FOXD1
 	FOXO1A
 	FXYD5
 	FZD8
 	G0S2
 	G1P2
 	GABARAPL1
 	GABARAPL3
 	GAL
 	GATA6
 	GDPD3
 	GIT2
 	GJB3
 	GNAI2
 	GNAS
 	SEPT5-GP1BB
 	GPNMB
 	GPR175
 	GRINA
 	H1FX
 	hCAP-H2
 	HEMK1
 	HERC5
 	HGS
 	HIST1H1C
 	HIST1H2BG
 	HIST2H4
 	HIVEP1
 	HLA-E
 	HMGA1
 	HNRPA1
 	HNRPUL1
 	HOXB7
 	HOXC10
 	HOXD9
 	HPD
 	HSPA5BP1
 	HYI
 	IBRDC3
 	ICAM1
 	IFI44
 	IFIT1
 	IFIT2
 	IFIT3
 	IGKC
 	IGKV1-5
 	IGLC2
 	IL17B
 	IL1A
 	IL32
 	INSL3
 	IRF1
 	IRF7
 	IRS2
 	ISG20
 	ITGA3
 	ITGB1BP3
 	ITGB4
 	JUNB
 	JUND
 	KCNH6
 	KCNJ12
 	KIAA0195
 	KIAA0657
